invoice_reuse,bank_count,drawdown_30d,revenue_loan_ratio,industry_risk,punished_before,registered_capital,label,high_invoice_reuse,multi_bank,frequent_drawdown
0,3,1,2.071692076314375,1,0,316.5966520203924,0,0,0,0
3,4,4,2.8032249229814954,1,0,225.4130868825216,1,1,0,0
1,1,1,4.702401679330939,1,0,222.1379850466865,0,0,0,0
0,2,2,0.6680823566711578,0,0,365.13203329267424,0,0,0,0
0,4,3,2.751190283648578,1,0,112.50512959400412,0,0,0,0
0,4,1,4.344903321474282,2,0,172.83461590415035,0,0,0,0
0,4,1,3.145884117666568,1,0,163.73659606415313,0,0,0,0
2,3,4,1.7459173263432048,0,0,63.07146265324624,1,1,0,0
1,3,5,2.2895651081526545,1,0,234.81488944986936,1,0,0,1
1,1,1,3.5611953292785854,0,0,103.2918192515186,0,0,0,0
0,4,1,4.5086535244121135,2,0,925.3929054181516,0,0,0,0
3,2,5,0.6847986818597522,1,1,89.31240733290171,1,1,0,1
2,2,0,0.8219246985066939,0,0,39.63418184623278,1,1,0,0
0,2,2,1.962731856243144,0,0,455.0540630039104,0,0,0,0
0,6,1,1.5475085799686554,0,0,70.50995735057836,0,0,1,0
0,1,2,1.6921889880008272,2,0,44.11094969099072,0,0,0,0
0,2,2,1.4957149938164642,0,0,218.6621748547373,0,0,0,0
0,2,1,1.3812127198482098,0,0,562.5580675500519,0,0,0,0
0,2,3,1.087807850911813,2,0,310.2404866315932,0,0,0,0
0,5,3,4.702793593078571,0,0,83.7849259951913,0,0,0,0
1,3,3,1.1488525875776887,0,0,168.77372650316067,0,0,0,0
0,1,1,1.4198169864449128,1,0,111.34442892015048,0,0,0,0
0,3,0,1.6081957579135358,0,0,781.2185245040056,0,0,0,0
0,5,2,4.698566929086892,0,0,95.84130721333024,0,0,0,0
0,4,1,3.9007136012048815,0,0,163.85764910288185,0,0,0,0
1,4,4,4.053647436419816,1,0,175.78264526389515,0,0,0,0
0,5,4,0.9714121679232413,2,0,46.51537685427377,0,0,0,0
0,2,1,4.263394437570522,0,0,122.3741099232701,0,0,0,0
0,3,0,2.3368688681783807,0,0,124.3870756145529,0,0,0,0
0,2,2,1.6827036179557493,0,0,588.0650804544191,0,0,0,0
1,8,2,3.0908753758413976,2,0,180.39340508088557,1,0,1,0
0,3,4,4.199823076175303,0,0,101.66443653820316,0,0,0,0
0,4,1,4.0039346798370925,2,1,128.36547087397926,0,0,0,0
2,5,1,4.504988671615094,0,0,138.80091858503042,1,1,0,0
3,4,2,4.676594837069498,2,0,142.74877329084063,1,1,0,0
2,3,6,1.571549321424873,1,0,375.1889512954192,1,1,0,1
0,3,1,2.4073605237617226,1,0,394.9290504504113,0,0,0,0
0,1,0,0.5658284264228151,0,0,55.1081292220299,0,0,0,0
1,4,1,4.45694746669277,1,0,431.7987721583169,0,0,0,0
0,4,1,1.195574681636454,0,1,314.61430535269835,0,0,0,0
0,3,0,4.376636655542124,0,0,140.79077396566848,0,0,0,0
0,2,1,1.982242948939684,0,1,33.98896182243595,0,0,0,0
0,5,1,2.156601154915122,2,1,183.57852081669617,0,0,0,0
2,1,4,0.6760951451773671,1,0,104.173472822832,1,1,0,0
0,7,6,1.970954553943938,1,0,258.4965390047209,0,0,1,1
1,3,1,4.497636572605689,1,0,283.32747878861585,0,0,0,0
0,4,1,0.6149633050472186,0,0,555.059673651424,0,0,0,0
0,2,1,2.328473628710264,2,0,51.35756782145691,0,0,0,0
0,0,2,0.6412983341573351,1,0,1259.3704622829623,0,0,0,0
0,4,0,2.169155412990792,1,0,363.3212128610392,0,0,0,0
3,3,5,1.2768828835113104,0,0,303.1570069024753,1,1,0,1
1,4,2,1.6349827697076742,2,0,1008.6910834721368,0,0,0,0
2,3,2,4.449192679226385,2,0,203.9424063101316,1,1,0,0
2,1,1,2.462221492798509,1,0,417.2339842232103,1,1,0,0
0,0,1,1.7320909613086048,0,0,175.87462791919404,0,0,0,0
2,3,1,3.152022700777465,1,1,344.06097882003206,1,1,0,0
0,2,6,1.1394813192466209,1,0,474.18945715059823,0,0,0,1
0,6,2,1.6672622333938514,0,0,427.91649188103474,0,0,1,0
0,2,1,2.9581158542129984,0,0,32.720922641660934,0,0,0,0
0,4,0,1.5688536883163098,0,0,98.1191311076344,0,0,0,0
0,3,4,3.5560748183039297,1,0,479.04865594126295,0,0,0,0
0,7,0,2.7117108601678512,0,0,244.2363066827909,0,0,1,0
2,5,4,3.973950816146109,0,0,141.25559216513838,1,1,0,0
0,4,1,4.767100410751109,1,0,246.57102813054752,0,0,0,0
0,1,3,1.021122002063335,1,1,49.220255200593165,0,0,0,0
0,6,2,2.005992544930452,0,0,325.8634794493325,0,0,1,0
0,1,2,1.9379707829528297,0,0,215.17659303582235,0,0,0,0
2,2,3,1.180323137017644,2,0,161.62033544064514,1,1,0,0
0,1,1,4.146364118000619,1,1,124.1000577895584,0,0,0,0
3,3,1,3.919454168174555,0,0,186.9905448416187,1,1,0,0
1,2,1,2.6799146187547955,2,0,112.8124674195852,0,0,0,0
0,1,2,2.919968500075743,0,0,107.35249428412924,0,0,0,0
0,0,1,0.7679486210112332,2,0,887.9065440653502,0,0,0,0
2,1,1,2.999783085471705,0,0,30.37051864156481,1,1,0,0
1,1,1,4.0610368580883645,0,0,31.00136400421604,0,0,0,0
1,5,3,3.0822240811273574,0,0,324.2510795977334,0,0,0,0
1,2,6,1.6938786655418852,0,1,43.8276279514069,1,0,0,1
0,6,2,3.5039672255045176,1,0,20.01475157822991,0,0,1,0
0,2,0,2.1266979348436146,1,0,409.2257615436712,0,0,0,0
0,5,0,2.951929779285809,2,0,523.2552507585034,0,0,0,0
2,2,3,2.6940441347551616,0,0,40.12358125279199,1,1,0,0
1,1,3,2.2152875043433102,0,0,24.64740884093914,0,0,0,0
0,1,4,3.734950911773608,0,0,43.86969517618537,0,0,0,0
0,2,2,4.477442503936468,0,0,73.70647033605783,0,0,0,0
0,3,0,0.5234563331461622,1,0,1006.1765641809292,0,0,0,0
0,2,2,4.7012743365366525,0,0,96.5685301900329,0,0,0,0
1,1,3,2.8018181123745123,1,0,340.9915522831977,0,0,0,0
1,5,2,3.653293461634693,1,0,305.44424438821244,0,0,0,0
2,5,1,4.350310547791447,0,0,556.9197655716794,1,1,0,0
0,2,2,2.6019666154142147,1,0,79.36196692175176,0,0,0,0
0,1,2,4.257383330142006,0,0,146.9079018123916,0,0,0,0
1,3,1,1.29928918754841,0,0,119.1997645318623,0,0,0,0
1,0,1,1.216253905159165,1,0,254.1680466061543,0,0,0,0
0,2,4,3.458621159852691,0,0,500.6383325399104,0,0,0,0
1,6,2,4.415643524982817,0,0,1310.8305304778255,0,0,1,0
0,7,4,4.515917798912177,1,0,100.42100085364744,0,0,1,0
0,3,1,3.3968320626976096,0,0,170.95163432673996,0,0,0,0
0,3,1,2.864701535941929,1,0,353.08823923824013,0,0,0,0
0,3,3,1.9912688946343229,0,0,273.627722884804,0,0,0,0
0,1,2,4.910001870196991,0,0,824.756503363996,0,0,0,0
0,3,1,1.938630589998127,2,0,133.2382622616975,0,0,0,0
1,4,1,3.8488374825421694,1,0,99.73953032561536,0,0,0,0
0,4,1,2.893918099572504,0,1,587.74670296251,0,0,0,0
0,1,1,3.23830554136406,0,0,200.94885513583787,0,0,0,0
2,3,0,2.270662477648818,2,0,254.73926811331285,1,1,0,0
0,0,3,4.841704064625115,0,0,138.00877178488597,0,0,0,0
0,2,4,3.07257046744672,1,0,375.0643003573566,0,0,0,0
1,4,1,4.720044337064555,1,1,62.48478439138902,1,0,0,0
0,6,3,0.5341613727826136,1,0,93.8526580169254,0,0,1,0
0,3,0,3.077017624360044,1,0,10.5040702893572,0,0,0,0
0,2,3,3.727341003763721,1,0,79.23580813632036,0,0,0,0
0,4,1,3.852860770229981,1,0,376.7491656867986,0,0,0,0
2,2,2,4.572395968017566,2,0,155.46433310877708,1,1,0,0
2,4,3,0.5198072405170382,1,0,58.91416822807871,1,1,0,0
1,2,2,0.501485716667644,0,0,619.8420633627294,0,0,0,0
2,6,1,2.625185573578469,0,0,170.46169061763783,1,1,1,0
2,2,1,0.6318216725241679,1,0,807.3446270124994,1,1,0,0
0,0,2,4.8853964914806856,2,0,349.56439349318816,0,0,0,0
2,5,1,1.4992932854362635,0,0,179.14617423381307,1,1,0,0
0,3,2,2.6269912821418013,0,1,929.8329582792904,0,0,0,0
2,2,2,0.7751193350550063,2,0,102.03730048782978,1,1,0,0
2,5,3,2.849217872770663,1,0,49.65552257036022,1,1,0,0
0,4,5,2.209802563163338,0,0,734.618172339699,0,0,0,1
0,4,2,0.7009701299475068,1,0,271.65430111804847,0,0,0,0
0,7,2,2.0080592001330118,2,0,598.1265485093796,0,0,1,0
0,2,1,2.2614620910028504,2,0,358.29778121316656,0,0,0,0
2,2,4,4.95464671073723,1,0,767.7592987801992,1,1,0,0
2,5,2,1.4354864236371896,0,0,88.98598021274712,1,1,0,0
0,4,2,2.9515082691654486,2,0,122.89930187785288,0,0,0,0
0,3,0,4.942919971393829,1,0,121.6112899176291,0,0,0,0
0,2,1,4.064086435730609,2,1,123.2624107842257,0,0,0,0
0,4,1,4.9701537539694005,0,0,30.967969463047712,0,0,0,0
0,4,1,4.857342415970762,0,0,174.76414502971338,0,0,0,0
0,5,2,2.7029279394236942,0,0,327.36489770537423,0,0,0,0
2,1,3,3.633691324417546,0,0,75.14968523620695,1,1,0,0
0,2,3,0.99699407123518,1,0,59.52112565460583,0,0,0,0
0,1,4,2.4851697127106083,2,0,129.5480742450398,0,0,0,0
1,4,3,4.140583440200139,1,0,325.2339835172967,0,0,0,0
0,1,1,2.774008944397145,2,0,50.618117981392935,0,0,0,0
3,3,3,3.662145647677544,0,0,1533.4536936340853,1,1,0,0
3,1,1,3.855880984929246,1,0,40.48186346946154,1,1,0,0
0,2,2,1.6406111355930224,2,0,83.87206039920015,0,0,0,0
0,5,0,4.440647178241544,1,0,461.3146259814153,0,0,0,0
0,4,1,2.569200939091305,1,0,390.5405685452685,0,0,0,0
0,3,1,1.445832966296947,1,0,357.80477459567186,0,0,0,0
0,3,4,4.394371468047996,1,0,74.78104475953901,0,0,0,0
1,5,1,2.3801846274781413,0,0,90.4086172196358,0,0,0,0
0,3,2,3.8764059727087385,2,0,63.028085399142505,0,0,0,0
0,2,2,2.966148824997168,2,0,107.7492728388098,0,0,0,0
0,1,1,2.218422885055252,0,0,217.61910611144168,0,0,0,0
2,2,3,4.144443867673562,1,0,62.72293245214441,1,1,0,0
0,1,4,3.130114692400759,1,0,25.837118324847225,0,0,0,0
0,2,0,2.257529460921643,1,0,477.81307730499736,0,0,0,0
0,1,2,0.9931904165080716,1,0,123.94449025707594,0,0,0,0
3,3,2,4.529503911950186,2,0,313.5901715433368,1,1,0,0
0,3,5,0.6596131340374995,0,0,108.9464542211637,0,0,0,1
1,6,2,4.384343067656253,0,0,255.39103739272085,0,0,1,0
1,5,2,2.1198268619742,2,0,1519.579694556866,0,0,0,0
0,6,4,3.377024435756326,1,0,47.3096141233585,0,0,1,0
1,1,1,4.649898757260583,2,0,68.1749345817156,0,0,0,0
0,2,4,1.1826797697675429,0,0,60.295746566804524,0,0,0,0
1,4,3,3.051277140374646,0,0,1217.0428174044862,0,0,0,0
1,2,6,3.939947880665864,2,1,145.75455642226262,1,0,0,1
0,1,0,3.9091272472357583,0,0,360.49481023781095,0,0,0,0
0,4,3,2.865343615697768,2,0,10.550513819819187,0,0,0,0
2,4,1,3.311327569579061,2,0,215.82303882386935,1,1,0,0
0,1,1,3.908871473597801,1,0,103.46049518623028,0,0,0,0
0,4,2,4.284624369908353,0,0,595.0287875980332,0,0,0,0
0,3,2,3.928158935941387,1,1,286.7930449258239,0,0,0,0
0,1,1,2.093022244315592,2,0,97.54254711524216,0,0,0,0
1,2,2,4.985268804759799,0,0,720.409099812467,0,0,0,0
0,1,3,2.4552621217368698,0,1,789.6805194544155,0,0,0,0
0,2,2,0.6100911624152003,0,0,668.9363070162445,0,0,0,0
0,2,2,2.131776282134579,0,0,318.14044414843505,0,0,0,0
1,3,4,1.0750232955822947,2,0,112.4733919153842,0,0,0,0
0,4,1,1.0464917707776875,2,0,187.18102495809268,0,0,0,0
1,4,0,1.7669076804810246,2,0,97.835230650373,0,0,0,0
0,0,3,0.7401897237976738,1,1,185.17566109022613,0,0,0,0
2,3,2,3.5983048478430337,1,0,81.88946022093779,1,1,0,0
0,0,5,0.8329499789085728,0,0,125.25105605819024,0,0,0,1
0,3,3,1.4148029994618028,1,0,1265.9128498732905,0,0,0,0
0,1,7,0.9180487152235371,1,0,202.5406173150128,0,0,0,1
2,4,1,0.7842547890636398,2,0,96.55639731691812,1,1,0,0
2,5,4,1.7048824949279375,2,0,49.390014947713,1,1,0,0
0,1,1,3.0735453544716647,2,0,134.31573891022325,0,0,0,0
1,3,2,4.841085004010788,2,0,312.7358719764915,0,0,0,0
2,3,4,4.440004944573229,2,0,170.1542404988708,1,1,0,0
0,3,2,4.4417026645039615,0,0,140.6166424794406,0,0,0,0
0,2,0,1.2923016621694592,2,0,227.13988152814133,0,0,0,0
0,3,2,1.6920823707401904,1,0,220.14568813135543,0,0,0,0
0,3,2,0.8437699255788756,0,0,300.45064272234174,0,0,0,0
2,4,0,4.003107529618333,0,0,308.56306447444933,1,1,0,0
2,3,1,0.8141733566850288,1,0,135.8334825691995,1,1,0,0
1,1,3,3.00513051869384,0,0,129.20570552671066,0,0,0,0
0,2,0,1.6154400754577782,0,0,148.5350011340896,0,0,0,0
0,4,1,1.5955053531293513,1,0,259.8931219599618,0,0,0,0
1,1,1,4.958262748614224,2,0,455.39055945343006,0,0,0,0
2,4,2,3.905509131403418,2,0,105.96687521401589,1,1,0,0
2,2,0,4.266227112309726,0,0,125.9987576752118,1,1,0,0
1,1,0,3.073922084048057,0,0,65.79509399933836,0,0,0,0
1,5,0,4.419564293271872,0,0,33.27297420365555,0,0,0,0
0,6,3,3.404707426248588,0,0,43.0415758954584,0,0,1,0
0,1,3,4.757781671583554,0,0,54.39547678059106,0,0,0,0
2,7,0,1.7660236372053657,2,0,76.26632906192302,1,1,1,0
1,4,2,3.178937956023028,1,0,235.06974179558517,0,0,0,0
0,3,3,3.6055910657160144,0,0,50.838871543515545,0,0,0,0
0,3,5,2.26821787262513,0,0,151.0609307073701,0,0,0,1
1,0,3,4.45868592081824,1,0,343.03795752654355,0,0,0,0
0,3,1,4.909114233968695,1,0,64.72472208600266,0,0,0,0
0,3,3,2.7219627111769773,0,0,90.75107186132468,0,0,0,0
0,1,2,2.257882946619526,2,0,39.64407221350461,0,0,0,0
1,0,0,2.623720678504064,0,1,57.25305129387924,0,0,0,0
1,2,2,4.337315355793692,0,0,584.0208708043122,0,0,0,0
0,4,4,3.4046079148317543,0,1,245.91647970974455,0,0,0,0
1,6,3,0.7014756763314278,1,0,1273.5392177924664,1,0,1,0
0,3,2,2.9397645970057167,0,0,71.022612709255,0,0,0,0
0,3,3,0.5778505523343642,0,0,670.7678685613388,0,0,0,0
1,2,3,4.003409169515324,0,0,71.6058668244084,0,0,0,0
1,1,1,1.9774052309410868,1,0,89.91155516896153,0,0,0,0
2,0,1,2.6240336695279822,0,0,2258.172038768568,1,1,0,0
1,2,5,4.094051476584344,0,0,64.38906205555203,0,0,0,1
0,6,2,0.709019677785927,0,0,725.3602160617025,0,0,1,0
0,6,4,1.213436910162247,0,0,143.74040123974592,0,0,1,0
0,3,4,2.290821694003017,1,1,50.5549441262153,0,0,0,0
0,3,2,1.5346632359550227,0,0,35.4917625385541,0,0,0,0
0,2,2,2.020556415987784,0,0,164.8743485020848,0,0,0,0
3,5,3,4.991786320516093,1,0,48.25452735701311,1,1,0,0
0,3,4,4.214364969082148,0,0,110.43810173814632,0,0,0,0
2,2,1,4.477558167320488,0,0,22.097743084408197,1,1,0,0
1,2,2,4.716745851045989,0,0,211.53960988060933,0,0,0,0
1,2,1,2.0342114614138804,2,0,31.73927638024075,0,0,0,0
0,3,6,1.8368463100841272,1,0,139.75829029764552,0,0,0,1
0,1,2,1.553281216574337,2,0,37.19619492596113,0,0,0,0
0,6,2,4.235526100886552,2,0,505.6673531317715,0,0,1,0
0,4,1,3.557983380283332,2,1,17.994968008509154,0,0,0,0
1,6,4,1.562773921172948,1,1,111.83840586079312,1,0,1,0
0,2,2,2.196472231447047,1,0,259.6691275400483,0,0,0,0
0,5,3,2.780202937697592,0,0,212.48802103405453,0,0,0,0
1,2,1,2.8766302577318914,0,0,42.65606551371233,0,0,0,0
0,3,4,4.499274778482716,1,0,26.05617195832202,0,0,0,0
2,6,4,2.212547598262473,2,0,324.2100153024405,1,1,1,0
3,6,0,4.588358137252306,0,0,131.14818327937655,1,1,1,0
2,5,8,2.486154021439053,1,0,50.8195905327005,1,1,0,1
0,4,3,3.858677036565592,0,0,336.23060485899896,0,0,0,0
0,3,2,4.686144439932752,0,0,84.5461749505825,0,0,0,0
2,1,3,4.584090667834698,0,0,76.90864909252751,1,1,0,0
0,4,0,0.7562879028305652,1,0,62.38478269993149,0,0,0,0
3,3,2,1.4256693273945642,0,0,69.44552831513566,1,1,0,0
3,4,2,2.6460744148952378,1,0,66.9871356277692,1,1,0,0
2,2,1,2.4419943047889827,2,0,206.08880654407997,1,1,0,0
0,2,3,3.384012491767432,2,0,699.6892012659019,0,0,0,0
0,4,2,4.751190728714355,0,0,36.71812686820839,0,0,0,0
2,4,2,1.0058212007507696,2,0,105.52979564375345,1,1,0,0
0,1,2,2.533363993104082,0,0,125.95777947213188,0,0,0,0
0,2,3,1.365849670492127,0,0,236.1725607995333,0,0,0,0
0,4,3,4.523484192790764,1,0,398.74539905258337,0,0,0,0
2,2,3,4.840610836107437,0,0,126.55005235427998,1,1,0,0
1,3,1,2.654157568506576,0,0,78.48541411417754,0,0,0,0
0,5,2,0.9680463397766332,0,0,264.5606691086619,0,0,0,0
0,2,3,4.033826000252029,1,1,28.786380560667094,0,0,0,0
1,2,0,3.637136077215796,0,0,17.39190272646548,0,0,0,0
3,2,3,2.096018719746397,1,0,1979.05448181421,1,1,0,0
0,2,1,4.493333632860336,1,0,66.1630290507568,0,0,0,0
0,4,1,4.891243504022182,1,0,98.12818924265515,0,0,0,0
2,2,0,3.0103423210858797,2,0,255.6516683839185,1,1,0,0
1,2,2,3.045775601049316,0,0,209.9762143128565,0,0,0,0
1,3,3,1.838810773012,0,0,359.6884736120709,0,0,0,0
1,2,2,3.130277161924914,0,0,379.03545411336273,0,0,0,0
0,2,4,2.478390442361809,0,0,35.076996389633464,0,0,0,0
0,2,1,1.8598596211762333,1,0,528.0973690927506,0,0,0,0
2,5,2,0.802333384357556,0,0,247.326634761743,1,1,0,0
2,4,1,1.637185368691062,0,0,216.5920537834368,1,1,0,0
2,4,2,1.39034592354949,1,0,226.4486354932636,1,1,0,0
2,4,4,2.93918893049277,1,0,15.922140802930222,1,1,0,0
0,4,0,3.2075150979361724,1,1,120.31063346102296,0,0,0,0
0,4,3,3.238572759377074,2,0,56.45391281434744,0,0,0,0
1,0,1,2.246814504705556,1,0,48.88088759413671,0,0,0,0
1,1,2,2.395533801584732,1,0,91.1149958432976,0,0,0,0
1,4,1,4.25407293338288,0,0,338.81429359701184,0,0,0,0
1,1,2,2.643047660827231,2,0,197.7875110420201,0,0,0,0
2,4,3,4.944979994617051,1,0,229.86097379958565,1,1,0,0
0,1,3,2.478277535039892,0,0,94.98008165689846,0,0,0,0
0,2,1,3.423114250780276,0,0,216.22029650840625,0,0,0,0
0,2,1,0.7266334954702811,1,1,121.62595404885832,0,0,0,0
0,1,3,3.4400296598846487,2,0,383.4171607678831,0,0,0,0
0,4,5,4.331418774867528,0,0,297.572991448484,0,0,0,1
0,7,1,4.7410602733998335,0,0,174.1326948629768,0,0,1,0
0,3,3,4.987942752378968,2,0,66.60014464337128,0,0,0,0
0,4,1,1.769803905421549,2,0,194.9981174647943,0,0,0,0
